step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
1,100.0,100.0,0.0,100.0,100.00428142464492,50089,49911,100000,0,0,balanced,Balanced Market
2,100.0,100.0,0.0,100.0,99.96166365366072,50087,49912,99999,0,0,balanced,Balanced Market
3,100.0,100.0,0.0,100.0,99.98071657829337,50087,49911,99998,0,0,balanced,Balanced Market
4,100.0,100.0,0.0,100.0,99.9834958152923,50087,49909,99996,0,0,balanced,Balanced Market
5,100.0,100.0,0.0,100.0,99.9712257364185,50083,49908,99991,4,8,balanced,Balanced Market
6,100.0,100.0,0.0,100.0,99.98436825455985,50083,49908,99991,2,11,balanced,Balanced Market
7,100.0,100.0,0.0,100.0,99.99419720730396,50076,49903,99979,10,44,balanced,Balanced Market
8,100.0,100.0,0.0,100.0,100.0235077163199,50076,49901,99977,1,2,balanced,Balanced Market
9,100.0,100.0,0.0,100.0,100.0289539646667,50075,49900,99975,0,0,balanced,Balanced Market
10,100.0,100.0,0.0,100.0,100.00648344741631,50073,49895,99968,6,25,balanced,Balanced Market
11,100.0,100.0,0.0,100.0,100.04034345627167,50072,49890,99962,5,25,balanced,Balanced Market
12,100.0,100.0,0.0,100.0,100.03314669848994,50072,49888,99960,0,0,balanced,Balanced Market
13,100.0,100.0,0.0,100.0,100.04324692914159,50072,49881,99953,6,30,balanced,Balanced Market
14,100.0,100.0,0.0,100.0,100.05078889535211,50073,49878,99951,2,12,balanced,Balanced Market
15,100.0,100.0,0.0,100.0,100.04632753888441,50063,49876,99939,11,49,balanced,Balanced Market
16,100.0,100.0,0.0,100.0,100.03667139145362,50062,49875,99937,0,0,balanced,Balanced Market
17,100.0,100.0,0.0,100.0,100.0362146597929,50062,49873,99935,0,0,balanced,Balanced Market
18,100.0,100.0,0.0,100.0,100.0483805371958,50062,49874,99936,0,0,balanced,Balanced Market
19,100.0,100.0,0.0,100.0,100.04000103673657,50060,49869,99929,6,20,balanced,Balanced Market
20,100.0,100.0,0.0,100.0,100.05560081974261,50057,49861,99918,10,52,balanced,Balanced Market
21,100.0,100.0,0.0,100.0,100.05984117495422,50056,49854,99910,8,25,balanced,Balanced Market
22,100.0,100.0,0.0,100.0,100.11581683378382,50055,49854,99909,0,0,balanced,Balanced Market
23,100.0,100.0,0.0,100.0,100.12710299043484,50046,49852,99898,11,51,balanced,Balanced Market
24,100.0,100.0,0.0,100.0,100.11371158889192,50046,49851,99897,0,0,balanced,Balanced Market
25,100.0,100.0,0.0,100.0,100.10196169134844,50043,49847,99890,7,19,balanced,Balanced Market
26,100.0,100.0,0.0,100.0,100.07399285230572,50037,49846,99883,6,27,balanced,Balanced Market
27,100.0,100.0,0.0,100.0,100.05179423096195,50026,49848,99874,8,41,balanced,Balanced Market
28,100.0,100.0,0.0,100.0,100.06327544480507,50016,49845,99861,12,52,balanced,Balanced Market
29,100.0,100.0,0.0,100.0,100.08347592514991,50014,49846,99860,0,0,balanced,Balanced Market
30,100.0,100.0,0.0,100.0,100.09637777805317,50016,49843,99859,0,0,balanced,Balanced Market
31,100.0,100.0,0.0,100.0,100.07776099576296,50014,49842,99856,2,7,balanced,Balanced Market
32,100.0,100.0,0.0,100.0,100.04526538811393,50007,49843,99850,5,32,balanced,Balanced Market
33,100.0,100.0,0.0,100.0,100.0715234241836,50005,49844,99849,0,0,balanced,Balanced Market
34,100.0,100.0,0.0,100.0,100.08350066622819,50006,49833,99839,10,42,balanced,Balanced Market
35,100.0,100.0,0.0,100.0,100.03207437554718,50005,49833,99838,0,0,balanced,Balanced Market
36,100.0,100.0,0.0,100.0,100.05720384211936,50002,49828,99830,5,10,balanced,Balanced Market
37,100.0,100.0,0.0,100.0,100.0519536934274,50000,49826,99826,2,10,balanced,Balanced Market
38,100.0,100.0,0.0,100.0,100.03642780483246,49996,49825,99821,4,12,balanced,Balanced Market
39,100.0,100.0,0.0,100.0,100.04036216088134,49994,49819,99813,8,41,balanced,Balanced Market
40,100.0,100.0,0.0,100.0,100.04405348185365,49992,49818,99810,1,1,balanced,Balanced Market
41,100.0,100.0,0.0,100.0,100.0601301085175,49994,49814,99808,0,0,balanced,Balanced Market
42,100.0,100.0,0.0,100.0,100.07484517992725,49996,49812,99808,0,0,balanced,Balanced Market
43,100.0,100.0,0.0,100.0,100.08031489503314,49991,49813,99804,4,18,balanced,Balanced Market
44,100.0,100.0,0.0,100.0,100.07983020592913,49984,49814,99798,5,27,balanced,Balanced Market
45,100.0,100.0,0.0,100.0,100.03858017744352,49976,49814,99790,7,35,balanced,Balanced Market
46,100.0,100.0,0.0,100.0,100.04683729672107,49978,49812,99790,0,0,balanced,Balanced Market
47,100.0,100.0,0.0,100.0,100.05762293662981,49976,49812,99788,0,0,balanced,Balanced Market
48,100.0,100.0,0.0,100.0,100.09034489330855,49976,49810,99786,2,11,balanced,Balanced Market
49,100.0,100.0,0.0,100.0,100.09030013638113,49978,49806,99784,0,0,balanced,Balanced Market
50,100.0,100.0,0.0,100.0,100.05008252099532,49978,49801,99779,4,18,balanced,Balanced Market
51,100.0,100.0,0.0,100.0,100.05447640460416,49972,49802,99774,4,20,balanced,Balanced Market
52,100.0,100.0,0.0,100.0,100.04879489088023,49969,49801,99770,3,18,balanced,Balanced Market
53,100.0,100.0,0.0,100.0,100.07938220020402,49966,49802,99768,2,11,balanced,Balanced Market
54,100.0,100.0,0.0,100.0,100.12041952198453,49962,49801,99763,4,27,balanced,Balanced Market
55,100.0,100.0,0.0,100.0,100.11424573029149,49954,49801,99755,7,40,balanced,Balanced Market
56,100.0,100.0,0.0,100.0,100.09548812309038,49943,49798,99741,14,51,balanced,Balanced Market
57,100.0,100.0,0.0,100.0,100.11368354812123,49941,49795,99736,3,10,balanced,Balanced Market
58,100.0,100.0,0.0,100.0,100.1192699257284,49936,49795,99731,3,23,balanced,Balanced Market
59,100.0,100.0,0.0,100.0,100.10290343626544,49933,49792,99725,6,32,balanced,Balanced Market
60,100.0,100.0,0.0,100.0,100.10038939012313,49931,49790,99721,3,8,balanced,Balanced Market
61,100.0,100.0,0.0,100.0,100.15832573354031,49928,49790,99718,3,15,balanced,Balanced Market
62,100.0,100.0,0.0,100.0,100.15432871356886,49927,49778,99705,11,53,balanced,Balanced Market
63,100.0,100.0,0.0,100.0,100.11856862480349,49928,49770,99698,7,36,balanced,Balanced Market
64,100.0,100.0,0.0,100.0,100.12638172916202,49929,49768,99697,0,0,balanced,Balanced Market
65,100.0,100.0,0.0,100.0,100.11990314501408,49928,49767,99695,0,0,balanced,Balanced Market
66,100.0,100.0,0.0,100.0,100.13195141345874,49925,49767,99692,1,2,balanced,Balanced Market
67,100.0,100.0,0.0,100.0,100.11084062698872,49926,49758,99684,8,43,balanced,Balanced Market
68,100.0,100.01,0.01,100.005,100.13506861734108,49925,49753,99678,7,21,balanced,Balanced Market
69,100.0,100.01,0.01,100.005,100.11954260697975,49922,49753,99675,3,26,balanced,Balanced Market
70,100.0,100.01,0.01,100.005,100.13907466167123,49920,49754,99674,0,0,balanced,Balanced Market
71,100.0,100.01,0.01,100.005,100.13334529703657,49919,49740,99659,13,54,balanced,Balanced Market
72,100.0,100.01,0.01,100.005,100.09861243751423,49911,49735,99646,12,49,balanced,Balanced Market
73,100.0,100.01,0.01,100.005,100.06477718230228,49910,49728,99638,8,45,balanced,Balanced Market
74,100.0,100.01,0.01,100.005,100.04975620257125,49906,49727,99633,3,10,balanced,Balanced Market
75,100.0,100.01,0.01,100.005,100.1090059889995,49905,49719,99624,10,41,balanced,Balanced Market
76,100.0,100.01,0.01,100.005,100.11129356231493,49905,49718,99623,0,0,balanced,Balanced Market
77,100.0,100.01,0.01,100.005,100.11421333841251,49904,49714,99618,4,14,balanced,Balanced Market
78,100.0,100.01,0.01,100.005,100.09589908840603,49899,49715,99614,4,22,balanced,Balanced Market
79,100.0,100.01,0.01,100.005,100.05715936484188,49894,49712,99606,6,40,balanced,Balanced Market
80,100.0,100.01,0.01,100.005,100.04593061828888,49886,49713,99599,6,33,balanced,Balanced Market
81,100.0,100.01,0.01,100.005,100.06006312102798,49884,49716,99600,0,0,balanced,Balanced Market
