step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
1,100.0,100.0,0.0,100.0,100.00428142464492,69900,30100,100000,0,0,buyer_heavy,Buyer-Heavy (70%)
2,100.0,100.0,0.0,100.0,99.96166365366072,69899,30100,99999,0,0,buyer_heavy,Buyer-Heavy (70%)
3,100.0,100.0,0.0,100.0,99.98071657829337,69898,30100,99998,0,0,buyer_heavy,Buyer-Heavy (70%)
4,100.0,100.0,0.0,100.0,99.9834958152923,69899,30097,99996,0,0,buyer_heavy,Buyer-Heavy (70%)
5,100.0,100.0,0.0,100.0,99.9712257364185,69897,30097,99994,1,1,buyer_heavy,Buyer-Heavy (70%)
6,100.0,100.0,0.0,100.0,99.98436825455985,69898,30095,99993,3,11,buyer_heavy,Buyer-Heavy (70%)
7,100.0,100.0,0.0,100.0,99.99419720730396,69892,30090,99982,9,44,buyer_heavy,Buyer-Heavy (70%)
8,100.0,100.0,0.0,100.0,100.0235077163199,69889,30091,99980,1,2,buyer_heavy,Buyer-Heavy (70%)
9,100.0,100.0,0.0,100.0,100.0289539646667,69887,30091,99978,0,0,buyer_heavy,Buyer-Heavy (70%)
10,100.0,100.0,0.0,100.0,100.00648344741631,69884,30088,99972,5,25,buyer_heavy,Buyer-Heavy (70%)
11,100.0,100.0,0.0,100.0,100.04034345627167,69882,30085,99967,4,25,buyer_heavy,Buyer-Heavy (70%)
12,100.0,100.0,0.0,100.0,100.03148936356544,69881,30081,99962,2,4,buyer_heavy,Buyer-Heavy (70%)
13,100.0,100.0,0.0,100.0,100.04167246096331,69881,30075,99956,5,30,buyer_heavy,Buyer-Heavy (70%)
14,100.0,100.0,0.0,100.0,100.04929315058276,69880,30073,99953,3,12,buyer_heavy,Buyer-Heavy (70%)
15,100.0,100.0,0.0,100.0,100.04490658135352,69868,30071,99939,12,49,buyer_heavy,Buyer-Heavy (70%)
16,100.0,100.0,0.0,100.0,100.03525043392273,69866,30071,99937,0,0,buyer_heavy,Buyer-Heavy (70%)
17,100.0,100.0,0.0,100.0,100.03479370226201,69866,30069,99935,0,0,buyer_heavy,Buyer-Heavy (70%)
18,100.0,100.0,0.0,100.0,100.0469595796649,69866,30070,99936,0,0,buyer_heavy,Buyer-Heavy (70%)
19,100.0,100.0,0.0,100.0,100.03865112708222,69864,30063,99927,8,25,buyer_heavy,Buyer-Heavy (70%)
20,100.0,100.0,0.0,100.0,100.05431840557097,69861,30049,99910,15,61,buyer_heavy,Buyer-Heavy (70%)
21,100.0,100.0,0.0,100.0,100.05862288149116,69860,30045,99905,5,25,buyer_heavy,Buyer-Heavy (70%)
22,100.0,100.0,0.0,100.0,100.11459854032077,69859,30045,99904,0,0,buyer_heavy,Buyer-Heavy (70%)
23,100.0,100.0,0.0,100.0,100.12594561164492,69859,30033,99892,11,51,buyer_heavy,Buyer-Heavy (70%)
24,100.0,100.0,0.0,100.0,100.112554210102,69858,30033,99891,0,0,buyer_heavy,Buyer-Heavy (70%)
25,100.0,100.0,0.0,100.0,100.10086218149802,69855,30031,99886,5,19,buyer_heavy,Buyer-Heavy (70%)
