step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
1,100.0,100.0,0.0,100.0,100.00428142464492,50084,49909,99993,0,0,high_cancel,High Cancellation
2,100.0,100.0,0.0,100.0,100.0163066066654,50078,49906,99984,0,0,high_cancel,High Cancellation
3,100.0,100.0,0.0,100.0,100.00774799149627,50078,49889,99967,7,34,high_cancel,High Cancellation
4,100.0,100.0,0.0,100.0,99.98275407806933,50075,49883,99958,0,0,high_cancel,High Cancellation
5,100.0,100.0,0.0,100.0,99.99463995834714,50071,49882,99953,0,0,high_cancel,High Cancellation
6,100.0,100.0,0.0,100.0,100.01378605992149,50067,49876,99943,2,10,high_cancel,High Cancellation
7,100.0,100.0,0.0,100.0,100.03849193281367,50065,49869,99934,0,0,high_cancel,High Cancellation
8,100.0,100.0,0.0,100.0,100.07785510348427,50057,49868,99925,0,0,high_cancel,High Cancellation
9,100.0,100.0,0.0,100.0,100.0494540778309,50051,49863,99914,0,0,high_cancel,High Cancellation
10,100.0,100.0,0.0,100.0,100.02041234055488,50047,49857,99904,0,0,high_cancel,High Cancellation
11,100.0,100.0,0.0,100.0,100.0134312499277,50040,49849,99889,5,23,high_cancel,High Cancellation
12,100.0,100.0,0.0,100.0,99.9945145333177,50035,49840,99875,7,32,high_cancel,High Cancellation
13,100.0,100.0,0.0,100.0,99.99581659863043,50032,49830,99862,4,20,high_cancel,High Cancellation
14,100.0,100.0,0.0,100.0,99.96239907814712,50017,49825,99842,13,48,high_cancel,High Cancellation
15,100.0,100.0,0.0,100.0,99.98956203238453,50004,49819,99823,8,39,high_cancel,High Cancellation
16,100.0,100.0,0.0,100.0,100.01246524754112,49996,49814,99810,3,17,high_cancel,High Cancellation
17,100.0,100.0,0.0,100.0,99.99552805338116,49995,49806,99801,3,17,high_cancel,High Cancellation
18,100.0,100.0,0.0,100.0,99.97394748583979,49980,49805,99785,8,35,high_cancel,High Cancellation
19,100.0,100.0,0.0,100.0,99.96260711827458,49970,49804,99774,4,22,high_cancel,High Cancellation
20,100.0,100.0,0.0,100.0,99.96944850404279,49966,49798,99764,0,0,high_cancel,High Cancellation
21,100.0,100.0,0.0,100.0,99.97991262040269,49959,49793,99752,4,13,high_cancel,High Cancellation
22,100.0,100.0,0.0,100.0,99.99531358152358,49954,49789,99743,0,0,high_cancel,High Cancellation
23,100.0,100.0,0.0,100.0,99.99868907618918,49945,49782,99727,5,26,high_cancel,High Cancellation
24,100.0,100.0,0.0,100.0,99.9845286897623,49938,49770,99708,8,44,high_cancel,High Cancellation
25,100.0,100.0,0.0,100.0,99.99844143109914,49926,49765,99691,8,48,high_cancel,High Cancellation
26,100.0,100.0,0.0,100.0,100.00003144497944,49918,49757,99675,8,47,high_cancel,High Cancellation
27,100.0,100.0,0.0,100.0,100.0077907645968,49912,49745,99657,7,28,high_cancel,High Cancellation
28,100.0,100.0,0.0,100.0,100.00451644352877,49907,49741,99648,0,0,high_cancel,High Cancellation
29,100.0,100.0,0.0,100.0,100.01553106961991,49903,49738,99641,0,0,high_cancel,High Cancellation
30,100.0,100.0,0.0,100.0,100.04933700112544,49898,49734,99632,0,0,high_cancel,High Cancellation
31,100.0,100.0,0.0,100.0,100.06890479745154,49885,49730,99615,9,45,high_cancel,High Cancellation
32,100.0,100.0,0.0,100.0,100.0767301125922,49882,49719,99601,3,18,high_cancel,High Cancellation
33,100.0,100.0,0.0,100.0,100.09139203977423,49876,49714,99590,0,0,high_cancel,High Cancellation
34,100.0,100.0,0.0,100.0,100.08436410435593,49870,49705,99575,3,5,high_cancel,High Cancellation
35,100.0,100.0,0.0,100.0,100.07480502997211,49869,49698,99567,0,0,high_cancel,High Cancellation
36,100.0,100.0,0.0,100.0,100.08084274466279,49861,49688,99549,8,35,high_cancel,High Cancellation
37,100.0,100.0,0.0,100.0,100.07169871854813,49856,49681,99537,3,7,high_cancel,High Cancellation
38,100.0,100.0,0.0,100.0,100.0326192683607,49850,49677,99527,0,0,high_cancel,High Cancellation
39,100.0,100.0,0.0,100.0,100.05181369700242,49838,49671,99509,9,44,high_cancel,High Cancellation
40,100.0,100.0,0.0,100.0,100.02036951716757,49833,49656,99489,12,46,high_cancel,High Cancellation
41,100.0,100.0,0.0,100.0,99.99379797864847,49829,49646,99475,6,29,high_cancel,High Cancellation
42,100.0,100.0,0.0,100.0,100.02291388807224,49824,49637,99461,6,38,high_cancel,High Cancellation
43,100.0,100.0,0.0,100.0,100.0472429720105,49820,49627,99447,2,3,high_cancel,High Cancellation
44,100.0,100.0,0.0,100.0,100.0448972953405,49814,49622,99436,0,0,high_cancel,High Cancellation
45,100.0,100.0,0.0,100.0,100.00097667372067,49807,49619,99426,0,0,high_cancel,High Cancellation
46,100.0,100.0,0.0,100.0,100.02212060675839,49804,49613,99417,0,0,high_cancel,High Cancellation
47,100.0,100.0,0.0,100.0,100.01052698324872,49800,49607,99407,0,0,high_cancel,High Cancellation
48,100.0,100.0,0.0,100.0,100.04289637829012,49796,49597,99393,5,17,high_cancel,High Cancellation
49,100.0,100.0,0.0,100.0,100.07218864948142,49790,49592,99382,2,10,high_cancel,High Cancellation
50,100.0,100.0,0.0,100.0,100.0858730486594,49787,49576,99363,9,40,high_cancel,High Cancellation
51,100.0,100.0,0.0,100.0,100.08473061892319,49775,49570,99345,9,49,high_cancel,High Cancellation
52,100.0,100.0,0.0,100.0,100.0732590239788,49769,49560,99329,6,29,high_cancel,High Cancellation
53,100.0,100.0,0.0,100.0,100.06646390719807,49758,49553,99311,10,38,high_cancel,High Cancellation
54,100.0,100.0,0.0,100.0,100.05620100833166,49751,49551,99302,2,5,high_cancel,High Cancellation
55,100.0,100.0,0.0,100.0,100.06977873768696,49748,49547,99295,0,0,high_cancel,High Cancellation
56,100.0,100.0,0.0,100.0,100.05987753042467,49746,49537,99283,0,0,high_cancel,High Cancellation
57,100.0,100.0,0.0,100.0,100.04696748135386,49741,49533,99274,3,15,high_cancel,High Cancellation
58,100.0,100.0,0.0,100.0,100.05705980025992,49736,49526,99262,3,10,high_cancel,High Cancellation
59,100.0,100.0,0.0,100.0,100.07266572729974,49727,49521,99248,8,47,high_cancel,High Cancellation
60,100.0,100.0,0.0,100.0,100.06896585848494,49724,49516,99240,0,0,high_cancel,High Cancellation
61,100.0,100.0,0.0,100.0,100.04857574756784,49722,49506,99228,0,0,high_cancel,High Cancellation
62,100.0,100.0,0.0,100.0,100.01830115887353,49715,49504,99219,0,0,high_cancel,High Cancellation
63,100.0,100.0,0.0,100.0,100.03603257376876,49702,49503,99205,4,17,high_cancel,High Cancellation
64,100.0,100.0,0.0,100.0,100.05176701316798,49699,49497,99196,0,0,high_cancel,High Cancellation
65,100.0,100.0,0.0,100.0,100.01863920590692,49690,49495,99185,0,0,high_cancel,High Cancellation
66,100.0,100.0,0.0,100.0,100.02922076067571,49687,49480,99167,8,38,high_cancel,High Cancellation
67,100.0,100.0,0.0,100.0,99.98884650632101,49683,49470,99153,4,27,high_cancel,High Cancellation
68,100.0,100.0,0.0,100.0,99.97496132371023,49674,49465,99139,7,33,high_cancel,High Cancellation
69,100.0,100.0,0.0,100.0,99.98022420098572,49669,49460,99129,1,5,high_cancel,High Cancellation
70,100.0,100.0,0.0,100.0,99.98836698848825,49660,49458,99118,6,28,high_cancel,High Cancellation
71,100.0,100.0,0.0,100.0,100.03602608905764,49653,49455,99108,4,28,high_cancel,High Cancellation
72,100.0,100.0,0.0,100.0,100.02331575185927,49642,49453,99095,5,29,high_cancel,High Cancellation
73,100.0,100.0,0.0,100.0,100.01581135456571,49632,49453,99085,0,0,high_cancel,High Cancellation
74,100.0,100.0,0.0,100.0,100.02440553998146,49623,49445,99068,9,38,high_cancel,High Cancellation
75,100.0,100.0,0.0,100.0,100.03568017134097,49619,49432,99051,6,34,high_cancel,High Cancellation
76,100.0,100.0,0.0,100.0,100.0257377360744,49611,49429,99040,7,39,high_cancel,High Cancellation
77,100.0,100.0,0.0,100.0,99.98387699737694,49605,49423,99028,2,7,high_cancel,High Cancellation
78,100.0,100.0,0.0,100.0,99.98077698835186,49599,49419,99018,0,0,high_cancel,High Cancellation
79,100.0,100.0,0.0,100.0,99.97530816703419,49595,49412,99007,0,0,high_cancel,High Cancellation
80,100.0,100.0,0.0,100.0,99.95706739952679,49590,49409,98999,3,14,high_cancel,High Cancellation
81,100.0,100.0,0.0,100.0,99.94627621146708,49588,49403,98991,0,0,high_cancel,High Cancellation
82,100.0,100.01,0.01,100.005,99.93453437769875,49582,49394,98976,8,32,high_cancel,High Cancellation
83,100.0,100.01,0.01,100.005,99.9169456104859,49578,49390,98968,0,0,high_cancel,High Cancellation
84,100.0,100.01,0.01,100.005,99.89937675007458,49572,49375,98947,11,47,high_cancel,High Cancellation
85,100.0,100.01,0.01,100.005,99.94909281239549,49559,49371,98930,8,40,high_cancel,High Cancellation
86,100.0,100.01,0.01,100.005,99.96129017473686,49556,49364,98920,0,0,high_cancel,High Cancellation
87,100.0,100.01,0.01,100.005,99.96937265078493,49553,49350,98903,7,43,high_cancel,High Cancellation
88,99.99,100.01,0.02,100.0,99.96630179591286,49541,49343,98884,12,45,high_cancel,High Cancellation
89,99.99,100.01,0.02,100.0,99.95737114855622,49536,49337,98873,0,0,high_cancel,High Cancellation
90,99.99,100.01,0.02,100.0,100.00210659878991,49533,49322,98855,10,36,high_cancel,High Cancellation
91,99.99,100.01,0.02,100.0,100.0258472165941,49529,49317,98846,0,0,high_cancel,High Cancellation
92,99.99,100.01,0.02,100.0,99.98361818445575,49519,49312,98831,7,31,high_cancel,High Cancellation
93,99.99,100.01,0.02,100.0,100.0094382717995,49515,49306,98821,0,0,high_cancel,High Cancellation
94,99.99,100.01,0.02,100.0,100.01914902947202,49502,49302,98804,8,33,high_cancel,High Cancellation
95,99.99,100.01,0.02,100.0,100.01057329685759,49492,49300,98792,0,0,high_cancel,High Cancellation
96,99.99,100.01,0.02,100.0,100.02819408849719,49485,49295,98780,0,0,high_cancel,High Cancellation
97,99.99,100.01,0.02,100.0,100.00804388095278,49479,49291,98770,0,0,high_cancel,High Cancellation
98,99.99,100.01,0.02,100.0,100.00502302496473,49476,49280,98756,6,43,high_cancel,High Cancellation
99,99.99,100.01,0.02,100.0,99.98035180997964,49473,49272,98745,0,0,high_cancel,High Cancellation
100,99.99,100.01,0.02,100.0,99.95594241575175,49465,49262,98727,7,40,high_cancel,High Cancellation
101,99.99,100.01,0.02,100.0,99.95904028107063,49459,49258,98717,0,0,high_cancel,High Cancellation
102,99.99,100.01,0.02,100.0,99.9734115026995,49455,49253,98708,0,0,high_cancel,High Cancellation
103,99.99,100.01,0.02,100.0,100.00311530291978,49446,49244,98690,8,31,high_cancel,High Cancellation
104,99.99,100.01,0.02,100.0,100.01323811468691,49437,49239,98676,2,8,high_cancel,High Cancellation
105,100.0,100.01,0.01,100.005,100.02853445506366,49432,49234,98666,0,0,high_cancel,High Cancellation
106,100.0,100.01,0.01,100.005,100.02178438554759,49427,49224,98651,4,10,high_cancel,High Cancellation
107,100.0,100.01,0.01,100.005,99.967700391135,49419,49221,98640,0,0,high_cancel,High Cancellation
108,99.99,100.01,0.02,100.0,99.93265422068899,49413,49214,98627,6,23,high_cancel,High Cancellation
109,99.99,100.01,0.02,100.0,99.89469982242446,49407,49210,98617,3,8,high_cancel,High Cancellation
110,99.99,100.01,0.02,100.0,99.870132044346,49404,49204,98608,0,0,high_cancel,High Cancellation
111,99.99,100.01,0.02,100.0,99.89535736369989,49394,49194,98588,11,46,high_cancel,High Cancellation
112,99.99,100.01,0.02,100.0,99.88037949438784,49376,49188,98564,15,50,high_cancel,High Cancellation
113,99.99,100.01,0.02,100.0,99.88562068057557,49370,49181,98551,3,9,high_cancel,High Cancellation
114,99.99,100.01,0.02,100.0,99.90622346334519,49366,49173,98539,3,13,high_cancel,High Cancellation
115,99.99,100.01,0.02,100.0,99.9202622481165,49360,49169,98529,3,23,high_cancel,High Cancellation
116,99.99,100.01,0.02,100.0,99.90775299586343,49355,49163,98518,4,7,high_cancel,High Cancellation
117,99.99,100.01,0.02,100.0,99.89661785749682,49347,49153,98500,8,46,high_cancel,High Cancellation
118,99.99,100.01,0.02,100.0,99.93043542686515,49340,49150,98490,1,8,high_cancel,High Cancellation
119,99.99,100.01,0.02,100.0,99.92596888368334,49329,49146,98475,7,44,high_cancel,High Cancellation
120,99.99,100.01,0.02,100.0,99.93817284260567,49324,49140,98464,0,0,high_cancel,High Cancellation
121,99.99,100.01,0.02,100.0,99.8938181523925,49316,49127,98443,10,43,high_cancel,High Cancellation
122,99.99,100.01,0.02,100.0,99.8963976651626,49311,49115,98426,9,46,high_cancel,High Cancellation
123,99.99,100.01,0.02,100.0,99.86995593357072,49304,49110,98414,2,7,high_cancel,High Cancellation
124,99.99,100.01,0.02,100.0,99.86788862631136,49300,49103,98403,0,0,high_cancel,High Cancellation
