step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
1,100.0,100.0,0.0,100.0,100.02909201191929,4930,5058,9988,9,36,low_liquidity,Low Liquidity
2,100.0,100.0,0.0,100.0,100.05454126911438,4927,5056,9983,2,14,low_liquidity,Low Liquidity
3,100.0,100.0,0.0,100.0,100.04379975052572,4926,5053,9979,0,0,low_liquidity,Low Liquidity
4,99.99,100.0,0.01,99.995,100.02613895013553,4916,5051,9967,8,35,low_liquidity,Low Liquidity
5,99.99,100.0,0.01,99.995,100.029868761022,4915,5050,9965,0,0,low_liquidity,Low Liquidity
6,99.99,100.0,0.01,99.995,100.04253751174043,4913,5043,9956,6,27,low_liquidity,Low Liquidity
7,99.99,100.0,0.01,99.995,100.06404179711893,4913,5036,9949,4,14,low_liquidity,Low Liquidity
8,99.99,100.0,0.01,99.995,100.05780125622117,4913,5029,9942,4,26,low_liquidity,Low Liquidity
9,99.99,100.01,0.02,100.0,100.05184002963384,4913,5016,9929,10,48,low_liquidity,Low Liquidity
10,99.99,100.01,0.02,100.0,100.07367345338268,4911,5009,9920,7,23,low_liquidity,Low Liquidity
11,99.99,100.01,0.02,100.0,100.07154427331508,4910,5006,9916,0,0,low_liquidity,Low Liquidity
12,99.99,100.01,0.02,100.0,100.08459868926609,4909,5003,9912,0,0,low_liquidity,Low Liquidity
13,99.99,100.01,0.02,100.0,100.05484407602016,4901,5002,9903,6,17,low_liquidity,Low Liquidity
14,99.99,100.01,0.02,100.0,100.03591667244918,4899,5001,9900,2,10,low_liquidity,Low Liquidity
15,99.99,100.01,0.02,100.0,100.04869032954386,4898,4992,9890,8,42,low_liquidity,Low Liquidity
16,99.99,100.01,0.02,100.0,100.0825145151073,4897,4989,9886,0,0,low_liquidity,Low Liquidity
17,99.99,100.02,0.03,100.005,100.08545350556994,4895,4977,9872,11,46,low_liquidity,Low Liquidity
