step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
1,100.0,100.0,0.0,100.0,100.00428142464492,30071,69929,100000,0,0,seller_heavy,Seller-Heavy (70%)
2,100.0,100.0,0.0,100.0,99.96166365366072,30069,69930,99999,0,0,seller_heavy,Seller-Heavy (70%)
3,100.0,100.0,0.0,100.0,99.98071657829337,30069,69929,99998,0,0,seller_heavy,Seller-Heavy (70%)
4,100.0,100.0,0.0,100.0,99.9834958152923,30069,69927,99996,0,0,seller_heavy,Seller-Heavy (70%)
5,100.0,100.0,0.0,100.0,99.9712257364185,30065,69926,99991,3,8,seller_heavy,Seller-Heavy (70%)
6,100.0,100.0,0.0,100.0,99.98436825455985,30064,69926,99990,3,16,seller_heavy,Seller-Heavy (70%)
7,100.0,100.0,0.0,100.0,99.99419720730396,30058,69920,99978,11,44,seller_heavy,Seller-Heavy (70%)
8,100.0,100.0,0.0,100.0,100.0235077163199,30059,69916,99975,1,2,seller_heavy,Seller-Heavy (70%)
9,100.0,100.0,0.0,100.0,100.0289539646667,30056,69917,99973,0,0,seller_heavy,Seller-Heavy (70%)
10,100.0,100.0,0.0,100.0,100.00648344741631,30056,69911,99967,5,25,seller_heavy,Seller-Heavy (70%)
11,100.0,100.0,0.0,100.0,100.04034345627167,30054,69906,99960,6,25,seller_heavy,Seller-Heavy (70%)
12,100.0,100.0,0.0,100.0,100.03314669848994,30054,69904,99958,0,0,seller_heavy,Seller-Heavy (70%)
13,100.0,100.0,0.0,100.0,100.04324692914159,30048,69901,99949,8,30,seller_heavy,Seller-Heavy (70%)
14,100.0,100.0,0.0,100.0,100.05078889535211,30046,69900,99946,3,12,seller_heavy,Seller-Heavy (70%)
15,100.0,100.0,0.0,100.0,100.04632753888441,30037,69898,99935,10,49,seller_heavy,Seller-Heavy (70%)
16,100.0,100.0,0.0,100.0,100.03667139145362,30037,69896,99933,0,0,seller_heavy,Seller-Heavy (70%)
17,100.0,100.0,0.0,100.0,100.0362146597929,30038,69893,99931,0,0,seller_heavy,Seller-Heavy (70%)
18,100.0,100.0,0.0,100.0,100.0483805371958,30037,69895,99932,0,0,seller_heavy,Seller-Heavy (70%)
19,100.0,100.0,0.0,100.0,100.04000103673657,30032,69894,99926,5,20,seller_heavy,Seller-Heavy (70%)
20,100.0,100.0,0.0,100.0,100.05560081974261,30025,69894,99919,7,44,seller_heavy,Seller-Heavy (70%)
21,100.0,100.0,0.0,100.0,100.05984117495422,30017,69893,99910,8,25,seller_heavy,Seller-Heavy (70%)
22,100.0,100.0,0.0,100.0,100.11581683378382,30017,69892,99909,0,0,seller_heavy,Seller-Heavy (70%)
23,100.0,100.0,0.0,100.0,100.12710299043484,30011,69890,99901,8,51,seller_heavy,Seller-Heavy (70%)
24,100.0,100.0,0.0,100.0,100.11371158889192,30010,69890,99900,0,0,seller_heavy,Seller-Heavy (70%)
25,100.0,100.0,0.0,100.0,100.10196169134844,30003,69891,99894,6,18,seller_heavy,Seller-Heavy (70%)
26,100.0,100.0,0.0,100.0,100.07399285230572,29999,69890,99889,4,22,seller_heavy,Seller-Heavy (70%)
27,100.0,100.0,0.0,100.0,100.05179423096195,29989,69892,99881,7,41,seller_heavy,Seller-Heavy (70%)
28,100.0,100.0,0.0,100.0,100.06327544480507,29979,69891,99870,10,52,seller_heavy,Seller-Heavy (70%)
29,100.0,100.0,0.0,100.0,100.08347592514991,29979,69890,99869,0,0,seller_heavy,Seller-Heavy (70%)
30,100.0,100.0,0.0,100.0,100.09637777805317,29980,69888,99868,0,0,seller_heavy,Seller-Heavy (70%)
31,100.0,100.0,0.0,100.0,100.07776099576296,29979,69886,99865,2,7,seller_heavy,Seller-Heavy (70%)
32,100.0,100.0,0.0,100.0,100.04526538811393,29972,69885,99857,6,32,seller_heavy,Seller-Heavy (70%)
33,100.0,100.0,0.0,100.0,100.0715234241836,29971,69885,99856,0,0,seller_heavy,Seller-Heavy (70%)
34,100.0,100.0,0.0,100.0,100.08350066622819,29971,69877,99848,8,42,seller_heavy,Seller-Heavy (70%)
35,100.0,100.0,0.0,100.0,100.03207437554718,29970,69877,99847,0,0,seller_heavy,Seller-Heavy (70%)
36,100.0,100.0,0.0,100.0,100.05720384211936,29968,69874,99842,3,10,seller_heavy,Seller-Heavy (70%)
37,100.0,100.0,0.0,100.0,100.0519536934274,29966,69871,99837,2,10,seller_heavy,Seller-Heavy (70%)
38,100.0,100.0,0.0,100.0,100.03642780483246,29962,69870,99832,3,12,seller_heavy,Seller-Heavy (70%)
39,100.0,100.0,0.0,100.0,100.04036216088134,29960,69863,99823,9,41,seller_heavy,Seller-Heavy (70%)
40,100.0,100.0,0.0,100.0,100.04637208616174,29958,69864,99822,0,0,seller_heavy,Seller-Heavy (70%)
41,100.0,100.0,0.0,100.0,100.06244871282559,29959,69861,99820,0,0,seller_heavy,Seller-Heavy (70%)
42,100.0,100.0,0.0,100.0,100.07716378423534,29960,69860,99820,0,0,seller_heavy,Seller-Heavy (70%)
43,99.99,100.0,0.01,99.995,100.08251756912581,29956,69860,99816,3,18,seller_heavy,Seller-Heavy (70%)
44,99.99,100.0,0.01,99.995,100.08142274631716,29945,69862,99807,8,27,seller_heavy,Seller-Heavy (70%)
